,Label.name,annotationNumber,Area
ctx-lh-bankssts,bankssts,1,22.69461253
ctx-lh-caudalanteriorcingulate,caudalanteriorcingulate,2,-33.65300508
ctx-lh-caudalmiddlefrontal,caudalmiddlefrontal,3,25.05101382
ctx-lh-cuneus,cuneus,5,-15.13961748
ctx-lh-entorhinal,entorhinal,6,29.87194724
ctx-lh-fusiform,fusiform,7,21.37375635
ctx-lh-inferiorparietal,inferiorparietal,8,-49.30669936
ctx-lh-inferiortemporal,inferiortemporal,9,25.92575342
ctx-lh-isthmuscingulate,isthmuscingulate,10,21.8290722
ctx-lh-lateraloccipital,lateraloccipital,11,24.00303548
ctx-lh-lateralorbitofrontal,lateralorbitofrontal,12,4.156250822
ctx-lh-lingual,lingual,13,-2.341226071
ctx-lh-medialorbitofrontal,medialorbitofrontal,14,0.738880897
ctx-lh-middletemporal,middletemporal,15,-44.20686229
ctx-lh-parahippocampal,parahippocampal,16,17.31192948
ctx-lh-paracentral,paracentral,17,-55.53266325
ctx-lh-parsopercularis,parsopercularis,18,76.19921766
ctx-lh-parsorbitalis,parsorbitalis,19,-81.73292392
ctx-lh-parstriangularis,parstriangularis,20,-65.40399647
ctx-lh-pericalcarine,pericalcarine,21,-34.61327165
ctx-lh-postcentral,postcentral,22,20.72048588
ctx-lh-posteriorcingulate,posteriorcingulate,23,-8.65865196
ctx-lh-precentral,precentral,24,-7.898330055
ctx-lh-precuneus,precuneus,25,-36.27069589
ctx-lh-rostralanteriorcingulate,rostralanteriorcingulate,26,37.87744092
ctx-lh-rostralmiddlefrontal,rostralmiddlefrontal,27,-20.83581742
ctx-lh-superiorfrontal,superiorfrontal,28,29.65650311
ctx-lh-superiorparietal,superiorparietal,29,-0.144271286
ctx-lh-superiortemporal,superiortemporal,30,30.45374541
ctx-lh-supramarginal,supramarginal,31,16.46628987
ctx-lh-frontalpole,frontalpole,32,-72.18339216
ctx-lh-temporalpole,temporalpole,33,37.93612621
ctx-lh-transversetemporal,transversetemporal,34,74.04735729
ctx-lh-insula,insula,35,-6.714174037
